features,weight
system.l2.ReadExReq_miss_rate::total,-1.0927e+00
system.cpu.commit.op_class_0::IntDiv,-1.0998e+00
system.l2.demand_hits::total,-1.1202e+00
system.l2.overall_hits::total,-1.1202e+00
system.l2.ReadSharedReq_hits::total,-1.1365e+00
system.cpu.commit.op_class_0::FloatMemRead,-1.1377e+00
system.cpu.commit.op_class_0::SimdFloatSqrt,-1.1391e+00
system.cpu.commit.op_class_0::FloatCmp,-1.1391e+00
system.cpu.commit.op_class_0::FloatDiv,-1.1391e+00
system.cpu.commit.op_class_0::FloatMult,-1.1391e+00
system.cpu.commit.op_class_0::SimdFloatAdd,-1.1391e+00
system.cpu.commit.op_class_0::SimdFloatMult,-1.1394e+00
system.cpu.commit.op_class_0::SimdFloatDiv,-1.1398e+00
system.cpu.commit.op_class_0::SimdFloatCvt,-1.1729e+00
system.cpu.commit.op_class_0::SimdCmp,-1.2184e+00
bias,-2.8500e+00
