features,weight
system.cpu.commit.bw_lim_events,9.1859e-02
system.tol2bus.respLayer1.occupancy,9.1249e-02
system.cpu.dcache.tags.warmup_cycle,8.8087e-02
system.cpu.branchPred.usedRAS,7.9660e-02
system.cpu.fetch.Branches,7.9021e-02
system.cpu.branchPred.lookups,7.9021e-02
system.cpu.branchPred.condPredicted,7.9021e-02
system.mem_ctrls_0.refreshEnergy,6.8217e-02
system.mem_ctrls_0.memoryStateTime::REF,6.7943e-02
system.tol2bus.snoop_filter.hit_multi_requests,5.9507e-02
system.cpu.iq.int_inst_queue_wakeup_accesses,5.6929e-02
system.cpu.fetch.IcacheSquashes,5.6494e-02
system.cpu.idleCycles,5.5950e-02
system.mem_ctrls.bw_inst_read::total,5.0148e-02
system.cpu.commit.branches,4.7782e-02
system.cpu.rename.BlockCycles,4.4792e-02
system.cpu.iq.int_alu_accesses,4.2239e-02
system.cpu.int_regfile_writes,3.8386e-02
system.cpu.dcache.demand_avg_mshr_miss_latency::total,3.8213e-02
system.cpu.dcache.overall_avg_mshr_miss_latency::total,3.8213e-02
system.mem_ctrls_0.totalEnergy,3.6398e-02
system.cpu.int_regfile_reads,3.4026e-02
system.tol2bus.pkt_count::total,3.3849e-02
system.cpu.commit.int_insts,3.2096e-02
system.cpu.dcache.ReadReq_hits::total,2.9072e-02
system.cpu.cc_regfile_writes,2.5050e-02
system.tol2bus.pkt_count_system.cpu.dcache.mem_side::system.l2.cpu_side,2.2695e-02
system.cpu.commit.op_class_0::SimdFloatAdd,2.0504e-02
system.cpu.iq.rate,1.4740e-02
system.mem_ctrls.avgWrBW,1.4057e-02
system.cpu.iew.exec_branches,1.4007e-02
system.cpu.fetch.branchRate,1.2831e-02
system.cpu.commit.function_calls,1.2767e-02
system.cpu.iew.exec_rate,7.5555e-03
system.cpu.dcache.ReadReq_mshr_hits::total,6.1332e-03
system.cpu.dcache.overall_mshr_hits::total,5.5754e-03
system.cpu.dcache.demand_mshr_hits::total,5.5754e-03
system.cpu.icache.avg_blocked_cycles::no_mshrs,5.1184e-03
system.cpu.iew.wb_rate,2.5686e-03
system.cpu.dcache.ReadReq_accesses::total,2.4814e-03
system.mem_ctrls.avgWrBWSys,1.6767e-03
system.mem_ctrls.bw_write::total,1.6754e-03
system.cpu.iq.issued_per_cycle::mean,3.1928e-05
system.cpu.commit.op_class_0::FloatMult,0.0000e+00
system.cpu.commit.op_class_0::SimdFloatSqrt,0.0000e+00
system.cpu.commit.op_class_0::FloatDiv,0.0000e+00
system.cpu.commit.op_class_0::FloatCmp,0.0000e+00
